Id,Código,Nombre,Categoria,Marca,Costo Base,Existencia actual,PRECIO DE VENTA DETAL,PRECIO DE Venta Mayor,fecha
1,2,Bicicleta BMX modelo lancer,Bicicletas,GW,197,0,230.00735,230,7/20/2022
2,3,Bicicleta Cliff modelo rock sport,Bicicletas,Cliff,617,0,684.87,709.55,7/20/2022
3,4,BICICLETA CLIFF 12*1,Bicicletas,Cliff,961,0,1150.00948,1057.1,7/20/2022
4,5,"Bicicleta GW Atlas rin 29""",Bicicletas,GW,200,0,240,220,7/20/2022
5,6,"Bicicleta GW florecita rin 16""",Bicicletas,GW,152,0,153.52,167.2,7/20/2022
6,7,Bicicleta GW Hyena 7x3 velocidades,Bicicletas,GW,300,0,390,345,7/20/2022
7,8,"Bicicleta GW On trail rin 12""",Bicicletas,GW,152,0,152,174.8,7/20/2022
8,9,"Bicicleta GW princess Siren rin 20""",Bicicletas,GW,152,0,153.52,174.8,7/20/2022
9,10,"Bicicleta GW Scorpion rin 29"" CON MANILLAS SHIMANO",Bicicletas,GW,250,0,312.5,287.5,7/20/2022
10,11,"Bicicleta GW Titan rin 29""",Bicicletas,GW,200,0,260,230,7/20/2022
11,12,Bicicleta OPTIMUS Aquila Max,Bicicletas,Optimus,500,0,650,575,7/20/2022
12,13,Bicicleta Profit Boston X20,Bicicletas,Optimus,437,0,498.18,502.55,7/20/2022
13,14,Bicicleta Profit Montana,Bicicletas,Optimus,0,0,0,0,7/20/2022
14,15,Bolso Portacelular plano GW,Accesorios,GW,13,0,18.2,15.6,7/20/2022
15,16,Bomba  de Aire GW,Accesorios,GW,4.25,0,8.5,5.1,7/20/2022
16,17,Bomba de Aire Portatil BKS P150,Accesorios,BKS,7.2,0,10.08,8.64,7/20/2022
17,18,Bomba portable marca flip,Accesorios,Otras,5.5,3,10,8,7/20/2022
18,19,"Bombas de pie con medidor, marca Bike parts",Accesorios,Otras,12.7,0,22.987,14.605,7/20/2022
19,20,"Cadena 10V, MARCA GW",Repuestos,GW,14.5,0,18.85,17.4,7/20/2022
20,21,"Cadena 8V, MARCA GW ",Repuestos,GW,0,0,0,0,7/20/2022
21,22,"Cadena 9V, MARCA GW",Repuestos,GW,11.5,0,14.95,13.8,7/20/2022
22,23,Casco Armour,Accesorios,On Trail,13,0,20.15,15.6,7/20/2022
23,24,Casco GW para ninos,Accesorios,GW,10.5,1,18,15,7/20/2022
24,26,Casco On Trail,Accesorios,On Trail,20.5,0,36.9,24.6,7/20/2022
25,27,Casco On Trail Dash,Accesorios,On Trail,16.48,0,23.896,20.6,7/20/2022
26,28,Casco Optimus Siriuis,Accesorios,Optimus,25.5,0,34.935,31.875,7/20/2022
27,29,Casco STL sin luz ,Accesorios,STL,32.5,0,41.925,37.375,7/20/2022
28,30,"Cassette 10V, MARCA GW 11-46",Repuestos,GW,45.5,0,60.00085,60.00085,7/20/2022
29,31,"Cassette 10V, MARCA GW 11-50",Repuestos,GW,47.63,0,59.5375,59.5375,7/20/2022
30,32,Descarrilador shimano Altus  ,Repuestos,Shimano,15.5,0,30.225,17.825,7/20/2022
31,33,"Cassette 11V, MARCA GW 11-46",Repuestos,GW,53.93,1,70.00114,70.00114,7/20/2022
32,34,Descarrilador shimano altus  9V ,Repuestos,Shimano,18.2,0,24.57,21.84,7/20/2022
33,35,"Cassette 8V, MARCA GW 11-40",Repuestos,GW,23.93,0,31.109,29.9125,7/20/2022
34,36,"Cassette 8V, MARCA GW 11-42",Repuestos,GW,23.93,0,31.109,27.5195,7/20/2022
35,37,"Cassette 9V, MARCA GW 11-40",Repuestos,GW,26.5,0,39.22,31.8,7/20/2022
36,38,"Cassette 9V, MARCA GW 11-46",Repuestos,GW,46,0,60.0024,60.0024,7/20/2022
37,39,100% Isolate Whey Protein,Nutricion,Otras,47.3216,0,65.00094976,54.41984,7/20/2022
38,40,CANA P/GALAPAGO MARCA CLIFF 31.6MM,Accesorios,Cliff,5.75,2,15,11,7/20/2022
39,809024,Clip para Zapatos (par),Accesorios,GW,12.5,2,20,15,7/20/2022
40,42,EXTRACTOR DE EJE CENTRO(BBT-79),herramientas,Otras,34.26,0,51.39285714,39.40119048,7/20/2022
41,43,Gomas de freno R-470TC,Repuestos,GW,9,0,12.96,10.8,7/20/2022
42,44,gomas de frenoR-450,Repuestos,GW,3,0,4.8,3.6,7/20/2022
43,45,Grupo de Cambios Optimus 2*10 ,Repuestos,Optimus,205,0,278.8,246,7/20/2022
44,46,Llave extractor de biela,herramientas,Otras,5.65,5,8,6.5,7/20/2022
45,47,Guantes profit,Accesorios,Profit,6.5,0,13,6.565,7/20/2022
46,48,Guayas de freno para bicicleta de ruta,Otros,GW,3.2,0,4.48,3.68,7/20/2022
47,49,Juegos de pastillas de ceramica genericas,Repuestos,GW,5,0,6,5.75,7/20/2022
48,50,Kit completo de reparacion T270,Otros,Otras,0,0,0,0,7/20/2022
49,51,lentes de Ciclismo,Accesorios,Otras,10.5,5,12.0015,12.075,7/20/2022
50,52,Licra Xtrail ,Accesorios,Otras,32.5,0,42.25,37.375,7/20/2022
51,53,Luz de Triangulo GW,Accesorios,GW,9.8,0,14.7,11.27,7/20/2022
52,55,Medias para ciclismo GW,Accesorios,GW,4.6,0,7.59,5.29,7/20/2022
53,56,Mini Bolso portaherramienta GW,Accesorios,GW,9.5,0,12.92,10.925,7/20/2022
54,57,Pacha cassette optimus 9V 11-40T  ,Repuestos,Optimus,16.5,0,33,18.975,7/20/2022
55,58,Pacha shimano cassette 8V Megarange 11-34T ,Repuestos,Shimano,21.5,0,34.83,24.725,7/20/2022
56,59,Pacha shimano cassette 9V 11-34T ,Repuestos,Shimano,24.5,0,36.75,28.175,7/20/2022
57,60,Paral fijo de Bicicleta,Accesorios,Otras,16,0,22.88,19.2,7/20/2022
58,61,Paral Trasero ajustable para bicicleta,Accesorios,Otras,8.5,0,12.75,10.2,7/20/2022
59,62,Paral Trasero sencillo para bicicleta,Accesorios,Otras,6.5,0,9.75,7.8,7/20/2022
60,63,Portabicicleta para carros ,Accesorios,Otras,45,0,49.5,54,7/20/2022
61,64,Portacelular GW ,Accesorios,GW,8.5,0,14.875,10.2,7/20/2022
62,65,Portaherramientas imitacion GW,Accesorios,GW,5.5,0,9.9,6.6,7/20/2022
63,66,Portatermo Aluminio GW ,Accesorios,GW,6.5,0,10.01,7.475,7/20/2022
64,67,Portatermo GW Aluminio Grueso,Accesorios,GW,8.5,0,11.9,10.2,7/20/2022
65,68,Protector de Cadena ,Accesorios,Adrianny,5,0,8.5,6,7/20/2022
66,69,Suspension de Aceite marca Partner,Repuestos,PARTNER,88,0,150,100,7/20/2022
67,70,Punos Optimus,Accesorios,Optimus,5.5,1,8,6.5,7/20/2022
68,71,Suspension de Aire marca Optimus,Repuestos,Optimus,145,0,180,175,7/20/2022
69,72,Puntillas Juego en blíster ,Repuestos,Otras,3.5,0,7,4.2,7/20/2022
70,73,Termo con Portatermo Bianchi,Accesorios,Otras,4,0,7,5,7/20/2022
71,74,Termo de Agua K6 aislante,Accesorios,BKS,11.3,0,14.69,16.95,7/20/2022
72,75,Termo de Agua K6 sencillo,Accesorios,BKS,7.25,0,12.325,10.875,7/20/2022
73,76,Termos optimus,Accesorios,Optimus,8.5,0,14.9923,10.99645,7/20/2022
74,77,"Tripa BKS rin 24""",Repuestos,BKS,1,3,5.007,4.5,7/20/2022
75,78,una convertidora para tensor de hierro,Repuestos,Otras,1.22,3,2.0008,2.0008,7/20/2022
76,79,Volante profit,Repuestos,Profit,5,0,10,7.5,7/20/2022
77,80,MULTIHERRAMIENTA CON PICA CADENAS,Accesorios,Otras,10,2,13,11.5,7/20/2022
78,000080-1,MULTIHERRAMIENTA CON PICA CADENAS Y BOLSO,Accesorios,Otras,4,2,9,8,7/20/2022
79,81,LLANTA LIZARD RIN 29,Repuestos,LIZARD,20,0,24,23,7/20/2022
80,82,MANILLA DE FRENO IZQUIERDA LOGAN,Repuestos,LOGAN,5,0,7,6,7/20/2022
81,83,PUNTILLA GENERICAS,Repuestos,Otras,5,0,8,6,7/20/2022
82,84,DESCARRILADOR SHIMANO DEORE 2X10 FD-M4100-M,Repuestos,Shimano,23.36,0,36.208,28.032,7/20/2022
83,85,DISCOS DE FRENO 160MM LOGAN DE TORNILLO,Repuestos,LOGAN,5,0,7,5,7/20/2022
84,86,ESPIGA GW SENCILLA 90 MM,Repuestos,GW,8,1,12,9,7/20/2022
85,000086-1,ESPIGA CLIFF,Repuestos,Cliff,5.75,2,15,10,7/20/2022
86,87,PACHA ON TRAIL 10VELOCIDADES 11-42T,Repuestos,On Trail,41.95945946,0,60.00202703,49.00864865,7/20/2022
87,88,"Arandela 34,9MM (Negro)",Repuestos,AC,3,0,4.005,3.45,7/20/2022
88,90,GUANTE REFLECTIVO DRIGOM,Accesorios,GW,8.6,0,15.0027,10.9994,7/20/2022
89,91,TRIPLATO 40-30-20 T (GRUPO ALTUS),Repuestos,Shimano,20,0,35,26,7/20/2022
90,92,Portacelular plastico,Accesorios,Otras,8,2,12,11,7/20/2022
91,108,DISCOS DE FRENO SHIMANO SM-RT54,Repuestos,Shimano,20,2,25,24,7/20/2022
92,121,TEIPE TUBELESS 25MM X 914M,Accesorios,Otras,5.98,0,9.00588,7.50191,7/20/2022
93,400,PUÑO ESPUMA EVA,Accesorios,Otras,6.9,2,10.005,8.5008,7/20/2022
94,718,CARAMANOLA TOUR ELITE DRIGOM,Accesorios,Otras,3.4,1,8.000271429,5.503371429,7/20/2022
95,739,Whey Tech pro ,Nutricion,Otras,1.06,0,2.00234,1.4999,7/20/2022
